timestamp, index, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
2025/11/26 01:15:59.348, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 01:16:59.351, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 01:17:59.353, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 01:18:59.354, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 01:19:59.357, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 01:20:59.359, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 01:21:59.362, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 01:22:59.364, 0, 451 MiB, 24576 MiB, 10 %
2025/11/26 01:23:59.366, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 01:24:59.368, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 01:25:59.371, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 01:26:59.373, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 01:27:59.376, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 01:28:59.378, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 01:29:59.381, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 01:30:59.383, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 01:31:59.385, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 01:32:59.387, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 01:33:59.390, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 01:34:59.391, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 01:35:59.394, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 01:36:59.397, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 01:37:59.399, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 01:38:59.402, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 01:39:59.404, 0, 26 MiB, 24576 MiB, 0 %
2025/11/26 01:40:59.407, 0, 22237 MiB, 24576 MiB, 99 %
2025/11/26 01:41:59.409, 0, 22237 MiB, 24576 MiB, 100 %
2025/11/26 01:42:59.411, 0, 22237 MiB, 24576 MiB, 100 %
2025/11/26 01:43:59.413, 0, 22237 MiB, 24576 MiB, 96 %
2025/11/26 01:44:59.416, 0, 22237 MiB, 24576 MiB, 100 %
2025/11/26 01:45:59.418, 0, 22237 MiB, 24576 MiB, 99 %
2025/11/26 01:46:59.420, 0, 22237 MiB, 24576 MiB, 98 %
2025/11/26 01:47:59.423, 0, 22237 MiB, 24576 MiB, 99 %
2025/11/26 01:48:59.425, 0, 22237 MiB, 24576 MiB, 76 %
2025/11/26 01:49:59.427, 0, 22237 MiB, 24576 MiB, 100 %
2025/11/26 01:50:59.430, 0, 22237 MiB, 24576 MiB, 71 %
2025/11/26 01:51:59.432, 0, 22237 MiB, 24576 MiB, 100 %
2025/11/26 01:52:59.435, 0, 22237 MiB, 24576 MiB, 99 %
2025/11/26 01:53:59.437, 0, 22237 MiB, 24576 MiB, 76 %
2025/11/26 01:54:59.440, 0, 22237 MiB, 24576 MiB, 71 %
2025/11/26 01:55:59.444, 0, 22237 MiB, 24576 MiB, 81 %
2025/11/26 01:56:59.446, 0, 22237 MiB, 24576 MiB, 75 %
2025/11/26 01:57:59.448, 0, 22237 MiB, 24576 MiB, 76 %
2025/11/26 01:58:59.450, 0, 22237 MiB, 24576 MiB, 100 %
2025/11/26 01:59:59.452, 0, 22237 MiB, 24576 MiB, 96 %
2025/11/26 02:00:59.454, 0, 22237 MiB, 24576 MiB, 89 %
2025/11/26 02:01:59.457, 0, 22237 MiB, 24576 MiB, 99 %
2025/11/26 02:02:59.460, 0, 22237 MiB, 24576 MiB, 99 %
2025/11/26 02:03:59.463, 0, 22237 MiB, 24576 MiB, 99 %
2025/11/26 02:04:59.465, 0, 22237 MiB, 24576 MiB, 80 %
2025/11/26 02:05:59.467, 0, 22237 MiB, 24576 MiB, 100 %
2025/11/26 02:06:59.470, 0, 22237 MiB, 24576 MiB, 100 %
2025/11/26 02:07:59.472, 0, 22237 MiB, 24576 MiB, 76 %
2025/11/26 02:08:59.474, 0, 22237 MiB, 24576 MiB, 76 %
2025/11/26 02:09:59.476, 0, 22237 MiB, 24576 MiB, 100 %
2025/11/26 02:10:59.479, 0, 22237 MiB, 24576 MiB, 100 %
2025/11/26 02:11:59.481, 0, 22237 MiB, 24576 MiB, 76 %
2025/11/26 02:12:59.484, 0, 22237 MiB, 24576 MiB, 98 %
2025/11/26 02:13:59.487, 0, 22237 MiB, 24576 MiB, 99 %
2025/11/26 02:14:59.489, 0, 22237 MiB, 24576 MiB, 71 %
2025/11/26 02:15:59.491, 0, 22237 MiB, 24576 MiB, 100 %
