timestamp, index, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
2025/11/26 00:32:00.344, 0, 7 MiB, 24576 MiB, 0 %
2025/11/26 00:33:00.347, 0, 426 MiB, 24576 MiB, 10 %
2025/11/26 00:34:00.349, 0, 584 MiB, 24576 MiB, 10 %
2025/11/26 00:35:00.352, 0, 666 MiB, 24576 MiB, 10 %
2025/11/26 00:36:00.354, 0, 666 MiB, 24576 MiB, 10 %
2025/11/26 00:37:00.357, 0, 750 MiB, 24576 MiB, 10 %
2025/11/26 00:38:00.359, 0, 750 MiB, 24576 MiB, 9 %
2025/11/26 00:39:00.361, 0, 750 MiB, 24576 MiB, 10 %
2025/11/26 00:40:00.363, 0, 750 MiB, 24576 MiB, 10 %
2025/11/26 00:41:00.365, 0, 750 MiB, 24576 MiB, 10 %
2025/11/26 00:42:00.368, 0, 750 MiB, 24576 MiB, 10 %
2025/11/26 00:43:00.370, 0, 750 MiB, 24576 MiB, 10 %
2025/11/26 00:44:00.372, 0, 750 MiB, 24576 MiB, 10 %
2025/11/26 00:45:00.374, 0, 750 MiB, 24576 MiB, 10 %
2025/11/26 00:46:00.377, 0, 750 MiB, 24576 MiB, 9 %
2025/11/26 00:47:00.379, 0, 750 MiB, 24576 MiB, 10 %
2025/11/26 00:48:00.381, 0, 750 MiB, 24576 MiB, 10 %
2025/11/26 00:49:00.384, 0, 750 MiB, 24576 MiB, 10 %
2025/11/26 00:50:00.386, 0, 836 MiB, 24576 MiB, 10 %
2025/11/26 00:51:00.388, 0, 836 MiB, 24576 MiB, 10 %
2025/11/26 00:52:00.391, 0, 836 MiB, 24576 MiB, 8 %
2025/11/26 00:53:00.393, 0, 836 MiB, 24576 MiB, 10 %
2025/11/26 00:54:00.395, 0, 836 MiB, 24576 MiB, 10 %
2025/11/26 00:55:00.397, 0, 836 MiB, 24576 MiB, 10 %
2025/11/26 00:56:00.400, 0, 836 MiB, 24576 MiB, 10 %
2025/11/26 00:57:00.402, 0, 836 MiB, 24576 MiB, 10 %
2025/11/26 00:58:00.404, 0, 836 MiB, 24576 MiB, 10 %
2025/11/26 00:59:00.407, 0, 836 MiB, 24576 MiB, 10 %
2025/11/26 01:00:00.409, 0, 836 MiB, 24576 MiB, 10 %
2025/11/26 01:01:00.411, 0, 836 MiB, 24576 MiB, 10 %
2025/11/26 01:02:00.413, 0, 836 MiB, 24576 MiB, 10 %
2025/11/26 01:03:00.415, 0, 836 MiB, 24576 MiB, 10 %
2025/11/26 01:04:00.418, 0, 836 MiB, 24576 MiB, 10 %
2025/11/26 01:05:00.420, 0, 836 MiB, 24576 MiB, 10 %
2025/11/26 01:06:00.422, 0, 836 MiB, 24576 MiB, 9 %
2025/11/26 01:07:00.425, 0, 836 MiB, 24576 MiB, 10 %
2025/11/26 01:08:00.427, 0, 836 MiB, 24576 MiB, 10 %
2025/11/26 01:09:00.429, 0, 836 MiB, 24576 MiB, 10 %
2025/11/26 01:10:00.432, 0, 836 MiB, 24576 MiB, 10 %
2025/11/26 01:11:00.434, 0, 836 MiB, 24576 MiB, 10 %
2025/11/26 01:12:00.437, 0, 836 MiB, 24576 MiB, 10 %
2025/11/26 01:13:00.439, 0, 836 MiB, 24576 MiB, 10 %
2025/11/26 01:14:00.441, 0, 836 MiB, 24576 MiB, 10 %
2025/11/26 01:15:00.444, 0, 836 MiB, 24576 MiB, 10 %
2025/11/26 01:16:00.446, 0, 836 MiB, 24576 MiB, 10 %
2025/11/26 01:17:00.447, 0, 836 MiB, 24576 MiB, 10 %
2025/11/26 01:18:00.450, 0, 836 MiB, 24576 MiB, 10 %
2025/11/26 01:19:00.452, 0, 836 MiB, 24576 MiB, 10 %
2025/11/26 01:20:00.454, 0, 836 MiB, 24576 MiB, 10 %
2025/11/26 01:21:00.456, 0, 836 MiB, 24576 MiB, 10 %
2025/11/26 01:22:00.459, 0, 836 MiB, 24576 MiB, 10 %
2025/11/26 01:23:00.461, 0, 836 MiB, 24576 MiB, 10 %
2025/11/26 01:24:00.463, 0, 836 MiB, 24576 MiB, 10 %
2025/11/26 01:25:00.465, 0, 836 MiB, 24576 MiB, 10 %
2025/11/26 01:26:00.468, 0, 7 MiB, 24576 MiB, 0 %
2025/11/26 01:27:00.470, 0, 7 MiB, 24576 MiB, 0 %
2025/11/26 01:28:00.473, 0, 7 MiB, 24576 MiB, 0 %
2025/11/26 01:29:00.475, 0, 7 MiB, 24576 MiB, 0 %
2025/11/26 01:30:00.477, 0, 7 MiB, 24576 MiB, 0 %
2025/11/26 01:31:00.480, 0, 7 MiB, 24576 MiB, 0 %
2025/11/26 01:32:00.482, 0, 7 MiB, 24576 MiB, 0 %
2025/11/26 01:33:00.485, 0, 7 MiB, 24576 MiB, 0 %
2025/11/26 01:34:00.487, 0, 7 MiB, 24576 MiB, 0 %
2025/11/26 01:35:00.490, 0, 7 MiB, 24576 MiB, 0 %
2025/11/26 01:36:00.492, 0, 7 MiB, 24576 MiB, 0 %
2025/11/26 01:37:00.495, 0, 7 MiB, 24576 MiB, 0 %
2025/11/26 01:38:00.497, 0, 7 MiB, 24576 MiB, 0 %
2025/11/26 01:39:00.500, 0, 7 MiB, 24576 MiB, 0 %
2025/11/26 01:40:00.502, 0, 7 MiB, 24576 MiB, 0 %
2025/11/26 01:41:00.505, 0, 7 MiB, 24576 MiB, 0 %
2025/11/26 01:42:00.507, 0, 7 MiB, 24576 MiB, 0 %
2025/11/26 01:43:00.510, 0, 7 MiB, 24576 MiB, 0 %
2025/11/26 01:44:00.512, 0, 10 MiB, 24576 MiB, 0 %
2025/11/26 01:45:00.515, 0, 10 MiB, 24576 MiB, 0 %
2025/11/26 01:46:00.517, 0, 7 MiB, 24576 MiB, 0 %
2025/11/26 01:47:00.520, 0, 530 MiB, 24576 MiB, 10 %
2025/11/26 01:48:00.522, 0, 10 MiB, 24576 MiB, 0 %
2025/11/26 01:49:00.525, 0, 662 MiB, 24576 MiB, 10 %
2025/11/26 01:50:00.527, 0, 664 MiB, 24576 MiB, 10 %
2025/11/26 01:51:00.530, 0, 664 MiB, 24576 MiB, 10 %
2025/11/26 01:52:00.532, 0, 664 MiB, 24576 MiB, 10 %
2025/11/26 01:53:00.534, 0, 664 MiB, 24576 MiB, 10 %
2025/11/26 01:54:00.535, 0, 664 MiB, 24576 MiB, 10 %
2025/11/26 01:55:00.538, 0, 664 MiB, 24576 MiB, 10 %
2025/11/26 01:56:00.540, 0, 664 MiB, 24576 MiB, 10 %
2025/11/26 01:57:00.543, 0, 664 MiB, 24576 MiB, 10 %
2025/11/26 01:58:00.545, 0, 664 MiB, 24576 MiB, 10 %
2025/11/26 01:59:00.547, 0, 744 MiB, 24576 MiB, 10 %
2025/11/26 02:00:00.550, 0, 744 MiB, 24576 MiB, 10 %
2025/11/26 02:01:00.552, 0, 744 MiB, 24576 MiB, 10 %
2025/11/26 02:02:00.555, 0, 744 MiB, 24576 MiB, 10 %
2025/11/26 02:03:00.557, 0, 744 MiB, 24576 MiB, 10 %
2025/11/26 02:04:00.559, 0, 744 MiB, 24576 MiB, 10 %
2025/11/26 02:05:00.562, 0, 744 MiB, 24576 MiB, 10 %
2025/11/26 02:06:00.564, 0, 744 MiB, 24576 MiB, 10 %
2025/11/26 02:07:00.567, 0, 744 MiB, 24576 MiB, 11 %
2025/11/26 02:08:00.569, 0, 744 MiB, 24576 MiB, 10 %
2025/11/26 02:09:00.571, 0, 744 MiB, 24576 MiB, 10 %
2025/11/26 02:10:00.574, 0, 744 MiB, 24576 MiB, 10 %
2025/11/26 02:11:00.576, 0, 744 MiB, 24576 MiB, 10 %
2025/11/26 02:12:00.579, 0, 744 MiB, 24576 MiB, 10 %
2025/11/26 02:13:00.581, 0, 744 MiB, 24576 MiB, 10 %
2025/11/26 02:14:00.583, 0, 744 MiB, 24576 MiB, 10 %
2025/11/26 02:15:00.586, 0, 744 MiB, 24576 MiB, 10 %
2025/11/26 02:16:00.588, 0, 744 MiB, 24576 MiB, 10 %
2025/11/26 02:17:00.590, 0, 744 MiB, 24576 MiB, 10 %
2025/11/26 02:18:00.592, 0, 830 MiB, 24576 MiB, 10 %
2025/11/26 02:19:00.594, 0, 830 MiB, 24576 MiB, 10 %
2025/11/26 02:20:00.597, 0, 830 MiB, 24576 MiB, 10 %
2025/11/26 02:21:00.599, 0, 830 MiB, 24576 MiB, 11 %
2025/11/26 02:22:00.601, 0, 830 MiB, 24576 MiB, 10 %
2025/11/26 02:23:00.604, 0, 830 MiB, 24576 MiB, 10 %
2025/11/26 02:24:00.605, 0, 830 MiB, 24576 MiB, 10 %
2025/11/26 02:25:00.608, 0, 830 MiB, 24576 MiB, 10 %
2025/11/26 02:26:00.610, 0, 830 MiB, 24576 MiB, 10 %
2025/11/26 02:27:00.612, 0, 830 MiB, 24576 MiB, 10 %
2025/11/26 02:28:00.614, 0, 830 MiB, 24576 MiB, 5 %
2025/11/26 02:29:00.616, 0, 830 MiB, 24576 MiB, 10 %
2025/11/26 02:30:00.618, 0, 830 MiB, 24576 MiB, 10 %
2025/11/26 02:31:00.621, 0, 830 MiB, 24576 MiB, 10 %
2025/11/26 02:32:00.623, 0, 830 MiB, 24576 MiB, 10 %
2025/11/26 02:33:00.626, 0, 830 MiB, 24576 MiB, 10 %
2025/11/26 02:34:00.629, 0, 920 MiB, 24576 MiB, 10 %
2025/11/26 02:35:00.630, 0, 920 MiB, 24576 MiB, 10 %
2025/11/26 02:36:00.632, 0, 920 MiB, 24576 MiB, 10 %
2025/11/26 02:37:00.634, 0, 920 MiB, 24576 MiB, 10 %
2025/11/26 02:38:00.637, 0, 920 MiB, 24576 MiB, 10 %
2025/11/26 02:39:00.639, 0, 920 MiB, 24576 MiB, 10 %
2025/11/26 02:40:00.642, 0, 920 MiB, 24576 MiB, 10 %
2025/11/26 02:41:00.644, 0, 920 MiB, 24576 MiB, 10 %
2025/11/26 02:42:00.646, 0, 920 MiB, 24576 MiB, 10 %
2025/11/26 02:43:00.649, 0, 920 MiB, 24576 MiB, 10 %
2025/11/26 02:44:00.651, 0, 920 MiB, 24576 MiB, 10 %
2025/11/26 02:45:00.653, 0, 920 MiB, 24576 MiB, 10 %
2025/11/26 02:46:00.655, 0, 920 MiB, 24576 MiB, 10 %
2025/11/26 02:47:00.657, 0, 920 MiB, 24576 MiB, 10 %
2025/11/26 02:48:00.660, 0, 920 MiB, 24576 MiB, 10 %
2025/11/26 02:49:00.662, 0, 920 MiB, 24576 MiB, 10 %
2025/11/26 02:50:00.664, 0, 920 MiB, 24576 MiB, 10 %
2025/11/26 02:51:00.667, 0, 920 MiB, 24576 MiB, 10 %
2025/11/26 02:52:00.669, 0, 920 MiB, 24576 MiB, 10 %
2025/11/26 02:53:00.671, 0, 920 MiB, 24576 MiB, 10 %
2025/11/26 02:54:00.674, 0, 920 MiB, 24576 MiB, 10 %
