uniprot_accession,status,url
P84085,success,https://alphafold.ebi.ac.uk/files/AF-P84085-F1-model_v6.pdb
P01308,success,https://alphafold.ebi.ac.uk/files/AF-P01308-F1-model_v6.pdb
Q15311,success,https://alphafold.ebi.ac.uk/files/AF-Q15311-F1-model_v6.pdb
Q07890,success,https://alphafold.ebi.ac.uk/files/AF-Q07890-F1-model_v6.pdb
P53041,success,https://alphafold.ebi.ac.uk/files/AF-P53041-F1-model_v6.pdb
O14641,success,https://alphafold.ebi.ac.uk/files/AF-O14641-F1-model_v6.pdb
O15264,success,https://alphafold.ebi.ac.uk/files/AF-O15264-F1-model_v6.pdb
Q13163,success,https://alphafold.ebi.ac.uk/files/AF-Q13163-F1-model_v6.pdb
A5PKW4,success,https://alphafold.ebi.ac.uk/files/AF-A5PKW4-F1-model_v6.pdb
P29992,success,https://alphafold.ebi.ac.uk/files/AF-P29992-F1-model_v6.pdb
Q2PPJ7,success,https://alphafold.ebi.ac.uk/files/AF-Q2PPJ7-F1-model_v6.pdb
P53778,success,https://alphafold.ebi.ac.uk/files/AF-P53778-F1-model_v6.pdb
P28482,success,https://alphafold.ebi.ac.uk/files/AF-P28482-F1-model_v6.pdb
Q96KP1,success,https://alphafold.ebi.ac.uk/files/AF-Q96KP1-F1-model_v6.pdb
O15498,success,https://alphafold.ebi.ac.uk/files/AF-O15498-F1-model_v6.pdb
P49815,success,https://alphafold.ebi.ac.uk/files/AF-P49815-F1-model_v6.pdb
Q9NPB6,success,https://alphafold.ebi.ac.uk/files/AF-Q9NPB6-F1-model_v6.pdb
Q99819,success,https://alphafold.ebi.ac.uk/files/AF-Q99819-F1-model_v6.pdb
O15155,success,https://alphafold.ebi.ac.uk/files/AF-O15155-F1-model_v6.pdb
P62714,success,https://alphafold.ebi.ac.uk/files/AF-P62714-F1-model_v6.pdb
O60292,success,https://alphafold.ebi.ac.uk/files/AF-O60292-F1-model_v6.pdb
Q16539,success,https://alphafold.ebi.ac.uk/files/AF-Q16539-F1-model_v6.pdb
P49023,success,https://alphafold.ebi.ac.uk/files/AF-P49023-F1-model_v6.pdb
O14653,success,https://alphafold.ebi.ac.uk/files/AF-O14653-F1-model_v6.pdb
P16520,success,https://alphafold.ebi.ac.uk/files/AF-P16520-F1-model_v6.pdb
P52566,success,https://alphafold.ebi.ac.uk/files/AF-P52566-F1-model_v6.pdb
Q15208,success,https://alphafold.ebi.ac.uk/files/AF-Q15208-F1-model_v6.pdb
Q9UIA0,success,https://alphafold.ebi.ac.uk/files/AF-Q9UIA0-F1-model_v6.pdb
P27348,success,https://alphafold.ebi.ac.uk/files/AF-P27348-F1-model_v6.pdb
P11488,success,https://alphafold.ebi.ac.uk/files/AF-P11488-F1-model_v6.pdb
Q9HAV0,success,https://alphafold.ebi.ac.uk/files/AF-Q9HAV0-F1-model_v6.pdb
P48454,success,https://alphafold.ebi.ac.uk/files/AF-P48454-F1-model_v6.pdb
Q8NDX1,success,https://alphafold.ebi.ac.uk/files/AF-Q8NDX1-F1-model_v6.pdb
Q9Y5U4,success,https://alphafold.ebi.ac.uk/files/AF-Q9Y5U4-F1-model_v6.pdb
Q04917,success,https://alphafold.ebi.ac.uk/files/AF-Q04917-F1-model_v6.pdb
P53618,success,https://alphafold.ebi.ac.uk/files/AF-P53618-F1-model_v6.pdb
Q9Y6Q5,success,https://alphafold.ebi.ac.uk/files/AF-Q9Y6Q5-F1-model_v6.pdb
P52758,success,https://alphafold.ebi.ac.uk/files/AF-P52758-F1-model_v6.pdb
P04049,success,https://alphafold.ebi.ac.uk/files/AF-P04049-F1-model_v6.pdb
Q9NQU5,success,https://alphafold.ebi.ac.uk/files/AF-Q9NQU5-F1-model_v6.pdb
O95835,success,https://alphafold.ebi.ac.uk/files/AF-O95835-F1-model_v6.pdb
P19087,success,https://alphafold.ebi.ac.uk/files/AF-P19087-F1-model_v6.pdb
O43307,success,https://alphafold.ebi.ac.uk/files/AF-O43307-F1-model_v6.pdb
Q684P5,success,https://alphafold.ebi.ac.uk/files/AF-Q684P5-F1-model_v6.pdb
P53365,success,https://alphafold.ebi.ac.uk/files/AF-P53365-F1-model_v6.pdb
P50479,success,https://alphafold.ebi.ac.uk/files/AF-P50479-F1-model_v6.pdb
P61204,success,https://alphafold.ebi.ac.uk/files/AF-P61204-F1-model_v6.pdb
O00203,success,https://alphafold.ebi.ac.uk/files/AF-O00203-F1-model_v6.pdb
Q9Y6B7,success,https://alphafold.ebi.ac.uk/files/AF-Q9Y6B7-F1-model_v6.pdb
P33947,success,https://alphafold.ebi.ac.uk/files/AF-P33947-F1-model_v6.pdb
O75154,success,https://alphafold.ebi.ac.uk/files/AF-O75154-F1-model_v6.pdb
P62491,success,https://alphafold.ebi.ac.uk/files/AF-P62491-F1-model_v6.pdb
Q9UPM8,success,https://alphafold.ebi.ac.uk/files/AF-Q9UPM8-F1-model_v6.pdb
Q9H0R1,success,https://alphafold.ebi.ac.uk/files/AF-Q9H0R1-F1-model_v6.pdb
Q16659,success,https://alphafold.ebi.ac.uk/files/AF-Q16659-F1-model_v6.pdb
P61923,success,https://alphafold.ebi.ac.uk/files/AF-P61923-F1-model_v6.pdb
Q15363,success,https://alphafold.ebi.ac.uk/files/AF-Q15363-F1-model_v6.pdb
Q9Y6D6,success,https://alphafold.ebi.ac.uk/files/AF-Q9Y6D6-F1-model_v6.pdb
P20645,success,https://alphafold.ebi.ac.uk/files/AF-P20645-F1-model_v6.pdb
P11142,success,https://alphafold.ebi.ac.uk/files/AF-P11142-F1-model_v6.pdb
