protein1 protein2 combined_score
208964.PA0001 208964.PA0002 687
208964.PA0001 208964.PA4760 358
208964.PA0001 208964.PA5569 463
208964.PA0001 208964.PA5493 580
208964.PA0001 208964.PA3617 358
208964.PA0001 208964.PA1462 352
208964.PA0001 208964.PA5563 590
208964.PA0001 208964.PA0004 224
208964.PA0001 208964.PA4260 450
208964.PA0001 208964.PA4931 507
208964.PA0001 208964.PA4425 229
208964.PA0001 208964.PA2118 284
208964.PA0001 208964.PA5028 475
208964.PA0001 208964.PA0962 175
208964.PA0001 208964.PA3596 284
208964.PA0001 208964.PA3810 224
208964.PA0001 208964.PA5562 358
208964.PA0001 208964.PA2126 151
208964.PA0001 208964.PA0947 409
208964.PA0001 208964.PA4275 169
208964.PA0001 208964.PA4967 224
208964.PA0001 208964.PA0577 357
208964.PA0001 208964.PA4761 224
208964.PA0001 208964.PA1191 151
208964.PA0002 208964.PA0669 748
208964.PA0002 208964.PA4416 216
208964.PA0002 208964.PA3344 210
208964.PA0002 208964.PA2545 591
208964.PA0002 208964.PA2974 161
208964.PA0002 208964.PA0923 919
208964.PA0002 208964.PA0799 676
208964.PA0002 208964.PA3172 189
208964.PA0002 208964.PA2259 173
208964.PA0002 208964.PA5147 349
208964.PA0002 208964.PA1529 358
208964.PA0002 208964.PA1532 989
208964.PA0002 208964.PA5443 509
208964.PA0002 208964.PA3832 921
208964.PA0002 208964.PA0947 828
208964.PA0002 208964.PA5332 591
208964.PA0002 208964.PA1935 509
208964.PA0002 208964.PA1717 179
208964.PA0002 208964.PA1929 161
208964.PA0002 208964.PA2961 998
208964.PA0002 208964.PA1045 159
208964.PA0002 208964.PA3620 973
208964.PA0002 208964.PA2320 173
208964.PA0002 208964.PA0670 902
208964.PA0002 208964.PA3640 973
208964.PA0002 208964.PA4967 252
208964.PA0002 208964.PA3941 161
208964.PA0002 208964.PA0577 358
208964.PA0002 208964.PA3528 562
208964.PA0002 208964.PA1405 509
208964.PA0002 208964.PA3308 676
208964.PA0002 208964.PA3989 991
208964.PA0002 208964.PA4946 964
208964.PA0002 208964.PA3614 216
208964.PA0002 208964.PA3563 173
208964.PA0002 208964.PA4172 591
208964.PA0002 208964.PA5493 994
208964.PA0002 208964.PA5569 496
208964.PA0002 208964.PA1886 988
208964.PA0002 208964.PA0065 161
208964.PA0002 208964.PA3859 207
208964.PA0002 208964.PA5296 509
208964.PA0002 208964.PA0750 394
208964.PA0002 208964.PA0608 189
208964.PA0002 208964.PA2138 972
208964.PA0002 208964.PA3617 528
208964.PA0002 208964.PA5566 152
208964.PA0002 208964.PA0001 687
208964.PA0002 208964.PA1816 986
208964.PA0002 208964.PA3232 954
208964.PA0002 208964.PA4283 675
208964.PA0002 208964.PA4931 552
208964.PA0002 208964.PA2613 288
208964.PA0002 208964.PA3642 679
208964.PA0002 208964.PA1866 159
208964.PA0002 208964.PA2244 286
208964.PA0002 208964.PA0004 252
208964.PA0002 208964.PA1949 173
208964.PA0003 208964.PA1534 567
208964.PA0003 208964.PA5345 358
208964.PA0003 208964.PA3617 357
208964.PA0003 208964.PA0772 729
208964.PA0003 208964.PA3725 357
208964.PA0003 208964.PA5569 454
208964.PA0004 208964.PA4450 697
208964.PA0004 208964.PA4742 298
208964.PA0004 208964.PA4530 534
208964.PA0004 208964.PA3810 150
208964.PA0004 208964.PA2961 279
208964.PA0004 208964.PA0947 150
208964.PA0004 208964.PA0854 151
208964.PA0004 208964.PA0552 220
208964.PA0004 208964.PA1886 212
208964.PA0004 208964.PA1156 342
208964.PA0004 208964.PA0342 181
208964.PA0004 208964.PA0001 224
208964.PA0004 208964.PA2071 224
208964.PA0004 208964.PA2962 152
208964.PA0004 208964.PA3344 435
208964.PA0004 208964.PA5497 171
208964.PA0004 208964.PA3011 420
208964.PA0004 208964.PA0799 326
208964.PA0004 208964.PA1981 464
208964.PA0004 208964.PA4448 223
208964.PA0004 208964.PA4964 681
208964.PA0004 208964.PA3168 993
208964.PA0004 208964.PA4702 453
208964.PA0004 208964.PA4761 236
208964.PA0004 208964.PA3308 326
208964.PA0004 208964.PA0002 252
208964.PA0004 208964.PA4873 153
208964.PA0004 208964.PA4266 224
208964.PA0004 208964.PA0742 453
208964.PA0004 208964.PA4470 151
208964.PA0004 208964.PA3617 242
208964.PA0004 208964.PA2461 464
208964.PA0004 208964.PA4031 171
208964.PA0004 208964.PA2244 420
208964.PA0004 208964.PA3635 223
208964.PA0006 208964.PA5453 240
208964.PA0006 208964.PA4612 165
208964.PA0006 208964.PA5141 358
208964.PA0006 208964.PA2545 163
208964.PA0006 208964.PA3344 186
208964.PA0006 208964.PA2742 195
208964.PA0006 208964.PA5332 163
208964.PA0006 208964.PA1800 155
208964.PA0006 208964.PA3287 165
208964.PA0006 208964.PA2138 671
208964.PA0006 208964.PA4425 357
208964.PA0006 208964.PA5242 195
208964.PA0006 208964.PA2498 165
208964.PA0006 208964.PA4172 163
208964.PA0007 208964.PA1318 391
208964.PA0007 208964.PA4882 284
208964.PA0007 208964.PA0519 319
208964.PA0007 208964.PA4811 422
208964.PA0007 208964.PA0509 319
208964.PA0007 208964.PA4133 342
208964.PA0007 208964.PA0521 345
208964.PA0007 208964.PA1451 313
208964.PA0007 208964.PA4100 265
208964.PA0007 208964.PA5327 197
208964.PA0007 208964.PA3710 265
208964.PA0007 208964.PA3868 343
208964.PA0007 208964.PA3874 349
208964.PA0007 208964.PA5354 197
208964.PA0007 208964.PA4429 349
208964.PA0007 208964.PA1317 391
208964.PA0007 208964.PA0105 391
208964.PA0007 208964.PA1554 342
208964.PA0007 208964.PA5372 265
208964.PA0007 208964.PA1856 342
208964.PA0007 208964.PA1450 313
208964.PA0007 208964.PA2265 265
208964.PA0007 208964.PA4430 460
208964.PA0007 208964.PA1688 319
208964.PA0007 208964.PA0317 197
208964.PA0007 208964.PA4265 343
208964.PA0007 208964.PA1557 342
208964.PA0007 208964.PA3534 267
208964.PA0007 208964.PA4277 343
208964.PA0007 208964.PA1553 387
208964.PA0007 208964.PA0108 345
208964.PA0007 208964.PA4772 197
208964.PA0007 208964.PA3785 412
208964.PA0007 208964.PA3875 361
208964.PA0007 208964.PA0536 313
208964.PA0007 208964.PA2714 267
208964.PA0007 208964.PA1174 267
208964.PA0007 208964.PA1555.1 168
208964.PA0007 208964.PA4140 197
208964.PA0007 208964.PA0524 347
208964.PA0007 208964.PA1556 387
208964.PA0007 208964.PA4431 460
208964.PA0007 208964.PA1319 345
208964.PA0007 208964.PA1779 267
208964.PA0007 208964.PA2481 392
208964.PA0007 208964.PA4571 392
