protein1 protein2 experimental database textmining combined_score
208964.PA0001 208964.PA0002 535 0 356 687
208964.PA0001 208964.PA4760 0 0 358 358
208964.PA0001 208964.PA5569 0 0 463 463
208964.PA0001 208964.PA5493 0 0 581 580
208964.PA0001 208964.PA3617 0 0 358 358
208964.PA0001 208964.PA1462 251 0 171 352
208964.PA0001 208964.PA5563 251 0 475 590
208964.PA0001 208964.PA0004 0 0 224 224
208964.PA0001 208964.PA4260 179 0 358 450
208964.PA0001 208964.PA4931 266 0 357 507
208964.PA0001 208964.PA4425 230 0 0 229
208964.PA0001 208964.PA2118 285 0 0 284
208964.PA0001 208964.PA5028 251 0 328 475
208964.PA0001 208964.PA0962 175 0 0 175
208964.PA0001 208964.PA3596 285 0 0 284
208964.PA0001 208964.PA3810 0 0 225 224
208964.PA0001 208964.PA5562 0 0 358 358
208964.PA0001 208964.PA2126 0 0 152 151
208964.PA0001 208964.PA0947 250 0 245 409
208964.PA0001 208964.PA4275 0 0 170 169
208964.PA0001 208964.PA4967 0 0 224 224
208964.PA0001 208964.PA0577 0 0 357 357
208964.PA0001 208964.PA4761 0 0 225 224
208964.PA0001 208964.PA1191 0 0 152 151
208964.PA0002 208964.PA0669 689 0 224 748
208964.PA0002 208964.PA4416 216 0 0 216
208964.PA0002 208964.PA3344 210 0 0 210
208964.PA0002 208964.PA2545 257 473 0 591
208964.PA0002 208964.PA2974 162 0 0 161
208964.PA0002 208964.PA0923 710 603 357 919
208964.PA0002 208964.PA0799 435 451 0 676
208964.PA0002 208964.PA3172 189 0 0 189
208964.PA0002 208964.PA2259 173 0 0 173
208964.PA0002 208964.PA5147 349 0 0 349
208964.PA0002 208964.PA1529 0 0 358 358
208964.PA0002 208964.PA1532 736 900 635 989
208964.PA0002 208964.PA5443 509 0 0 509
208964.PA0002 208964.PA3832 250 900 0 921
208964.PA0002 208964.PA0947 744 0 358 828
208964.PA0002 208964.PA5332 257 473 0 591
208964.PA0002 208964.PA1935 509 0 0 509
208964.PA0002 208964.PA1717 179 0 0 179
208964.PA0002 208964.PA1929 162 0 0 161
208964.PA0002 208964.PA2961 806 990 358 998
208964.PA0002 208964.PA1045 47 154 0 159
208964.PA0002 208964.PA3620 586 923 243 973
208964.PA0002 208964.PA2320 173 0 0 173
208964.PA0002 208964.PA0670 710 603 224 902
208964.PA0002 208964.PA3640 689 900 224 973
208964.PA0002 208964.PA4967 76 0 224 252
208964.PA0002 208964.PA3941 162 0 0 161
208964.PA0002 208964.PA0577 0 0 358 358
208964.PA0002 208964.PA3528 498 0 164 562
208964.PA0002 208964.PA1405 509 0 0 509
208964.PA0002 208964.PA3308 435 451 0 676
208964.PA0002 208964.PA3989 806 900 588 991
208964.PA0002 208964.PA4946 345 923 358 964
208964.PA0002 208964.PA3614 121 145 0 216
208964.PA0002 208964.PA3563 173 0 0 173
208964.PA0002 208964.PA4172 257 473 0 591
208964.PA0002 208964.PA5493 873 919 479 994
208964.PA0002 208964.PA5569 0 0 496 496
208964.PA0002 208964.PA1886 806 914 358 988
208964.PA0002 208964.PA0065 162 0 0 161
208964.PA0002 208964.PA3859 207 0 0 207
208964.PA0002 208964.PA5296 509 0 0 509
208964.PA0002 208964.PA0750 394 0 0 394
208964.PA0002 208964.PA0608 189 0 0 189
208964.PA0002 208964.PA2138 806 865 0 972
208964.PA0002 208964.PA3617 296 0 358 528
208964.PA0002 208964.PA5566 153 0 0 152
208964.PA0002 208964.PA0001 535 0 356 687
208964.PA0002 208964.PA1816 773 900 456 986
208964.PA0002 208964.PA3232 498 900 164 954
208964.PA0002 208964.PA4283 675 0 0 675
208964.PA0002 208964.PA4931 0 0 552 552
208964.PA0002 208964.PA2613 289 0 0 288
208964.PA0002 208964.PA3642 679 0 0 679
208964.PA0002 208964.PA1866 47 154 0 159
208964.PA0002 208964.PA2244 287 0 0 286
208964.PA0002 208964.PA0004 76 0 224 252
208964.PA0002 208964.PA1949 173 0 0 173
208964.PA0003 208964.PA1534 0 0 567 567
208964.PA0003 208964.PA5345 0 0 358 358
208964.PA0003 208964.PA3617 0 0 357 357
208964.PA0003 208964.PA0772 175 0 686 729
208964.PA0003 208964.PA3725 0 0 357 357
208964.PA0003 208964.PA5569 0 0 455 454
208964.PA0004 208964.PA4450 0 0 697 697
208964.PA0004 208964.PA4742 298 0 0 298
208964.PA0004 208964.PA4530 534 0 0 534
208964.PA0004 208964.PA3810 0 0 151 150
208964.PA0004 208964.PA2961 172 0 166 279
208964.PA0004 208964.PA0947 0 0 151 150
208964.PA0004 208964.PA0854 0 0 152 151
208964.PA0004 208964.PA0552 0 0 220 220
208964.PA0004 208964.PA1886 107 0 154 212
208964.PA0004 208964.PA1156 0 0 342 342
208964.PA0004 208964.PA0342 0 0 182 181
208964.PA0004 208964.PA0001 0 0 224 224
208964.PA0004 208964.PA2071 0 0 224 224
208964.PA0004 208964.PA2962 0 0 153 152
208964.PA0004 208964.PA3344 302 0 225 435
208964.PA0004 208964.PA5497 0 0 172 171
208964.PA0004 208964.PA3011 0 0 421 420
208964.PA0004 208964.PA0799 285 0 97 326
208964.PA0004 208964.PA1981 402 0 141 464
208964.PA0004 208964.PA4448 0 0 223 223
208964.PA0004 208964.PA4964 607 0 223 681
208964.PA0004 208964.PA3168 607 0 983 993
208964.PA0004 208964.PA4702 402 0 124 453
208964.PA0004 208964.PA4761 0 0 236 236
208964.PA0004 208964.PA3308 285 0 97 326
208964.PA0004 208964.PA0002 76 0 224 252
208964.PA0004 208964.PA4873 0 0 154 153
208964.PA0004 208964.PA4266 0 0 224 224
208964.PA0004 208964.PA0742 402 0 124 453
208964.PA0004 208964.PA4470 0 0 152 151
208964.PA0004 208964.PA3617 0 0 243 242
208964.PA0004 208964.PA2461 402 0 141 464
208964.PA0004 208964.PA4031 0 0 172 171
208964.PA0004 208964.PA2244 283 0 225 420
208964.PA0004 208964.PA3635 0 0 223 223
208964.PA0006 208964.PA5453 0 0 241 240
208964.PA0006 208964.PA4612 152 0 56 165
208964.PA0006 208964.PA5141 0 0 358 358
208964.PA0006 208964.PA2545 0 0 163 163
208964.PA0006 208964.PA3344 60 0 170 186
208964.PA0006 208964.PA2742 195 0 0 195
208964.PA0006 208964.PA5332 0 0 163 163
208964.PA0006 208964.PA1800 156 0 0 155
208964.PA0006 208964.PA3287 152 0 56 165
208964.PA0006 208964.PA2138 220 488 243 671
208964.PA0006 208964.PA4425 0 0 357 357
208964.PA0006 208964.PA5242 195 0 0 195
208964.PA0006 208964.PA2498 152 0 56 165
208964.PA0006 208964.PA4172 0 0 163 163
208964.PA0007 208964.PA1318 367 0 78 391
208964.PA0007 208964.PA4882 285 0 0 284
208964.PA0007 208964.PA0519 319 0 0 319
208964.PA0007 208964.PA4811 422 0 0 422
208964.PA0007 208964.PA0509 319 0 0 319
208964.PA0007 208964.PA4133 328 0 61 342
208964.PA0007 208964.PA0521 345 0 0 345
208964.PA0007 208964.PA1451 314 0 0 313
208964.PA0007 208964.PA4100 265 0 0 265
208964.PA0007 208964.PA5327 197 0 0 197
208964.PA0007 208964.PA3710 265 0 0 265
208964.PA0007 208964.PA3868 344 0 0 343
208964.PA0007 208964.PA3874 349 0 0 349
208964.PA0007 208964.PA5354 197 0 0 197
208964.PA0007 208964.PA4429 349 0 0 349
208964.PA0007 208964.PA1317 367 0 78 391
208964.PA0007 208964.PA0105 367 0 78 391
208964.PA0007 208964.PA1554 328 0 61 342
208964.PA0007 208964.PA5372 265 0 0 265
208964.PA0007 208964.PA1856 328 0 61 342
208964.PA0007 208964.PA1450 314 0 0 313
208964.PA0007 208964.PA2265 265 0 0 265
208964.PA0007 208964.PA4430 427 0 97 460
208964.PA0007 208964.PA1688 319 0 0 319
208964.PA0007 208964.PA0317 197 0 0 197
208964.PA0007 208964.PA4265 344 0 0 343
208964.PA0007 208964.PA1557 328 0 61 342
208964.PA0007 208964.PA3534 267 0 0 267
208964.PA0007 208964.PA4277 344 0 0 343
208964.PA0007 208964.PA1553 363 0 78 387
208964.PA0007 208964.PA0108 345 0 0 345
208964.PA0007 208964.PA4772 197 0 0 197
208964.PA0007 208964.PA3785 412 0 0 412
208964.PA0007 208964.PA3875 361 0 0 361
208964.PA0007 208964.PA0536 314 0 0 313
208964.PA0007 208964.PA2714 267 0 0 267
208964.PA0007 208964.PA1174 267 0 0 267
208964.PA0007 208964.PA1555.1 135 0 78 168
208964.PA0007 208964.PA4140 197 0 0 197
208964.PA0007 208964.PA0524 348 0 0 347
208964.PA0007 208964.PA1556 363 0 78 387
208964.PA0007 208964.PA4431 427 0 97 460
208964.PA0007 208964.PA1319 345 0 0 345
208964.PA0007 208964.PA1779 267 0 0 267
208964.PA0007 208964.PA2481 368 0 78 392
208964.PA0007 208964.PA4571 368 0 78 392
208964.PA0007 208964.PA3026 197 0 0 197
208964.PA0007 208964.PA5181 267 0 0 267
208964.PA0007 208964.PA0106 367 0 78 391
208964.PA0007 208964.PA0364 265 0 0 265
208964.PA0007 208964.PA5355 197 0 0 197
208964.PA0007 208964.PA0516 319 0 0 319
208964.PA0007 208964.PA1552.1 135 0 78 168
208964.PA0007 208964.PA4692 285 0 0 284
208964.PA0007 208964.PA1416 197 0 0 197
208964.PA0007 208964.PA2124 265 0 0 265
208964.PA0008 208964.PA1949 173 0 0 173
208964.PA0008 208964.PA0009 805 900 0 979
208964.PA0008 208964.PA2320 173 0 0 173
208964.PA0008 208964.PA2259 173 0 0 173
208964.PA0008 208964.PA3563 173 0 0 173
208964.PA0009 208964.PA3554 0 0 162 161
208964.PA0009 208964.PA2382 162 0 0 161
208964.PA0009 208964.PA5321 273 0 0 273
208964.PA0009 208964.PA0018 0 0 239 238
208964.PA0009 208964.PA3834 0 0 254 254
208964.PA0009 208964.PA4439 0 0 236 236
208964.PA0009 208964.PA4771 162 0 0 161
208964.PA0009 208964.PA0008 805 900 0 979
208964.PA0011 208964.PA3242 0 900 0 900
208964.PA0012 208964.PA2799 0 0 333 333
208964.PA0012 208964.PA2989 0 0 326 325
208964.PA0012 208964.PA4608 0 0 356 356
208964.PA0015 208964.PA1122 156 0 0 155
208964.PA0015 208964.PA5022 371 0 0 371
208964.PA0015 208964.PA0019 156 0 0 155
208964.PA0015 208964.PA5133 371 0 0 371
208964.PA0016 208964.PA4464 250 0 0 250
208964.PA0016 208964.PA3210 700 0 358 799
208964.PA0017 208964.PA4568 337 0 0 337
208964.PA0017 208964.PA4272 699 0 0 699
208964.PA0017 208964.PA3134 195 0 0 195
208964.PA0017 208964.PA4260 341 0 0 341
208964.PA0017 208964.PA4572 202 0 56 214
208964.PA0017 208964.PA2741 337 0 0 337
208964.PA0017 208964.PA2970 337 0 0 337
208964.PA0017 208964.PA4237 337 0 0 337
208964.PA0017 208964.PA2424 197 0 0 197
208964.PA0017 208964.PA4256 203 0 0 203
208964.PA0017 208964.PA3600 256 0 0 256
208964.PA0017 208964.PA3868 221 0 0 221
208964.PA0017 208964.PA3950 440 0 0 440
208964.PA0017 208964.PA3262 202 0 56 214
208964.PA0017 208964.PA5470 284 0 0 284
208964.PA0017 208964.PA4258 752 0 0 752
208964.PA0017 208964.PA4251 154 0 0 153
208964.PA0017 208964.PA4433 738 0 0 738
208964.PA0017 208964.PA3466 440 0 0 440
208964.PA0017 208964.PA3717 202 0 56 214
208964.PA0017 208964.PA3334 197 0 0 197
208964.PA0017 208964.PA4265 221 0 0 221
208964.PA0017 208964.PA4978 156 0 0 155
208964.PA0017 208964.PA3162 239 0 0 238
208964.PA0017 208964.PA4245 686 0 0 686
208964.PA0017 208964.PA1794 195 0 0 195
208964.PA0017 208964.PA4252 805 0 0 805
208964.PA0017 208964.PA4242 256 0 0 256
208964.PA0017 208964.PA4271 475 0 0 475
208964.PA0017 208964.PA3327 197 0 0 197
208964.PA0017 208964.PA0770 221 0 0 221
208964.PA0017 208964.PA1017 156 0 0 155
208964.PA0017 208964.PA4274 203 0 0 203
208964.PA0017 208964.PA4263 761 0 0 761
208964.PA0017 208964.PA4248 612 0 0 612
208964.PA0017 208964.PA0868 284 0 0 284
208964.PA0017 208964.PA2744 203 0 0 203
208964.PA0017 208964.PA4752 805 0 172 831
208964.PA0017 208964.PA5315 416 0 0 416
208964.PA0017 208964.PA4277 221 0 0 221
208964.PA0017 208964.PA3629 185 0 0 185
208964.PA0017 208964.PA4005 337 0 0 337
208964.PA0017 208964.PA3701 284 0 0 284
208964.PA0017 208964.PA2400 197 0 0 197
208964.PA0017 208964.PA3861 440 0 0 440
208964.PA0017 208964.PA2966 197 0 0 197
208964.PA0017 208964.PA4262 712 0 0 712
208964.PA0017 208964.PA3742 337 0 0 337
208964.PA0017 208964.PA4247 214 0 0 214
208964.PA0017 208964.PA4567 337 0 0 337
208964.PA0017 208964.PA0455 440 0 0 440
208964.PA0017 208964.PA4724 195 0 0 195
208964.PA0017 208964.PA4566 221 0 0 221
208964.PA0017 208964.PA4255 651 0 0 651
208964.PA0017 208964.PA4273 519 0 0 519
208964.PA0017 208964.PA0428 440 0 0 440
208964.PA0017 208964.PA4244 727 0 0 727
208964.PA0017 208964.PA5254 202 0 56 214
208964.PA0017 208964.PA4253 640 0 0 640
208964.PA0017 208964.PA2122 221 0 0 221
208964.PA0017 208964.PA4261 727 0 0 727
208964.PA0017 208964.PA4932 337 0 0 337
208964.PA0017 208964.PA2840 440 0 0 440
208964.PA0017 208964.PA1869 197 0 0 197
208964.PA0018 208964.PA0009 0 0 239 238
208964.PA0018 208964.PA3011 0 0 239 238
208964.PA0018 208964.PA4439 0 0 239 238
208964.PA0018 208964.PA3834 0 0 174 173
208964.PA0019 208964.PA4432 611 0 0 611
208964.PA0019 208964.PA4251 611 0 0 611
208964.PA0019 208964.PA4433 611 0 0 611
208964.PA0019 208964.PA4240 611 0 0 611
208964.PA0019 208964.PA4264 611 0 0 611
208964.PA0019 208964.PA5554 184 0 0 183
208964.PA0019 208964.PA4935 644 0 0 644
208964.PA0019 208964.PA4239 611 0 0 611
208964.PA0019 208964.PA4258 611 0 0 611
208964.PA0019 208964.PA5570 611 0 0 611
208964.PA0019 208964.PA3600 444 0 0 444
208964.PA0019 208964.PA2970 611 0 0 611
208964.PA0019 208964.PA4237 611 0 0 611
208964.PA0019 208964.PA2741 611 0 0 611
208964.PA0019 208964.PA4256 611 0 0 611
208964.PA0019 208964.PA4267 611 0 0 611
208964.PA0019 208964.PA4260 611 0 0 611
208964.PA0019 208964.PA4568 611 0 0 611
208964.PA0019 208964.PA4249 611 0 0 611
208964.PA0019 208964.PA5315 611 0 0 611
208964.PA0019 208964.PA4699 156 0 0 155
208964.PA0019 208964.PA4263 611 0 0 611
208964.PA0019 208964.PA4248 611 0 0 611
208964.PA0019 208964.PA4274 611 0 0 611
208964.PA0019 208964.PA5049 611 0 0 611
208964.PA0019 208964.PA4671 611 0 0 611
208964.PA0019 208964.PA4245 611 0 0 611
208964.PA0019 208964.PA4242 611 0 0 611
208964.PA0019 208964.PA4632 156 0 0 155
208964.PA0019 208964.PA4252 611 0 0 611
208964.PA0019 208964.PA3657 367 0 0 367
208964.PA0019 208964.PA0015 156 0 0 155
208964.PA0019 208964.PA5316 611 0 0 611
208964.PA0019 208964.PA4567 611 0 0 611
208964.PA0019 208964.PA4259 611 0 0 611
208964.PA0019 208964.PA4741 611 0 0 611
208964.PA0019 208964.PA4262 611 0 0 611
208964.PA0019 208964.PA2748 367 0 0 367
208964.PA0019 208964.PA4247 611 0 0 611
208964.PA0019 208964.PA3742 611 0 0 611
208964.PA0019 208964.PA4268 611 0 0 611
208964.PA0019 208964.PA0579 611 0 0 611
208964.PA0019 208964.PA4563 611 0 0 611
208964.PA0019 208964.PA4241 611 0 0 611
208964.PA0019 208964.PA1800 611 0 0 611
208964.PA0019 208964.PA4667 156 0 0 155
208964.PA0019 208964.PA4932 611 0 0 611
208964.PA0019 208964.PA3601 505 0 0 505
208964.PA0019 208964.PA3656 611 0 0 611
208964.PA0019 208964.PA4250 611 0 0 611
208964.PA0019 208964.PA1005 156 0 0 155
208964.PA0019 208964.PA4261 611 0 0 611
208964.PA0019 208964.PA4254 611 0 0 611
208964.PA0019 208964.PA4244 611 0 0 611
208964.PA0019 208964.PA4257 611 0 0 611
